,date,var_mean,var_std,var_min,var_max
93,1959-04-15,-1.3582668,0.07632232,-1.5144109,-1.0581754
94,1959-04-20,-1.3562777,0.08014969,-1.5091305,-1.0372556
95,1959-04-25,-1.3531096,0.083939254,-1.4965408,-1.013564
96,1959-04-30,-1.3491592,0.08821429,-1.4852034,-0.99078697
97,1959-05-05,-1.3488324,0.09253044,-1.4796418,-0.97736025
98,1959-05-10,-1.3438349,0.0956784,-1.5017605,-0.9635526
99,1959-05-15,-1.3436837,0.09703192,-1.5746238,-0.95559585
100,1959-05-20,-1.3426794,0.1097372,-1.7038107,-0.95672697
101,1959-05-25,-1.3293936,0.10381375,-1.6474609,-0.946057
102,1959-05-30,-1.2995148,0.15583318,-1.7846283,-0.17735718
103,1959-06-04,-1.3635702,0.20622554,-1.7669107,0.7380831
104,1959-06-09,-1.1659262,0.6305593,-1.6732582,2.4566135
105,1959-06-14,-0.4121216,1.5535327,-1.5325887,4.5300307
106,1959-06-19,0.89162076,2.291984,-1.7537731,5.369193
107,1959-06-24,2.3957095,3.167969,-1.7125541,8.54802
108,1959-06-29,3.9738936,3.3796415,-1.4938662,10.527742
109,1959-07-04,5.328608,3.0595975,-0.83871496,11.437128
110,1959-07-09,6.633624,3.328046,0.29762143,12.90797
111,1959-07-14,7.6964316,3.4314618,1.0565395,13.784086
112,1959-07-19,9.342326,3.7788675,1.771798,15.605004
113,1959-07-24,9.461522,3.549611,2.288195,15.604505
114,1959-07-29,10.409505,3.5782354,3.1965792,16.194462
115,1959-08-03,10.6248,3.7748756,3.8493986,16.837315
116,1959-08-08,11.436173,3.7604263,4.3220267,17.45878
117,1959-08-13,11.845805,3.7363124,4.615555,17.875587
118,1959-08-18,11.653503,3.7834897,5.0105186,18.01621
119,1959-08-23,11.715343,3.5983758,5.530387,17.925177
120,1959-08-28,11.780895,3.507915,5.9441557,17.852732
121,1959-09-02,11.980965,3.3681512,6.163974,17.865534
122,1959-09-07,12.13351,3.2930515,6.2705293,17.840658
123,1959-09-12,11.640738,3.2848427,6.355811,17.485254
124,1959-09-17,10.47051,2.8166988,6.325039,15.7521925
125,1959-09-22,9.994377,2.3696568,6.4178386,14.462255
126,1959-09-27,9.617434,2.1804276,5.9372196,13.767712
127,1959-10-02,9.246031,2.0844784,5.5054793,13.234487
128,1959-10-07,8.401659,1.7819144,5.362567,11.902172
129,1959-10-12,7.857772,1.6103499,5.160197,11.141716
130,1959-10-17,6.7801414,1.3280191,4.353696,9.732801
131,1959-10-22,5.7294097,1.0403309,3.622239,8.077411
132,1959-10-27,4.944054,0.8517652,3.3026648,6.875589
133,1959-11-01,4.0020094,0.73871243,2.708374,5.4486966
134,1959-11-06,3.2483444,0.7544457,1.914685,4.5523367
135,1959-11-11,2.217052,0.8688987,0.65247595,3.6567779
136,1959-11-16,1.2585195,1.0225493,-0.6589132,2.9784558
137,1959-11-21,0.23889956,0.9260283,-1.1622808,2.0277345
138,1959-11-26,-0.4533595,0.63388467,-1.2467479,1.20843
139,1959-12-01,-0.7316855,0.4869477,-1.2816277,0.5640948
140,1959-12-06,-0.9333129,0.3089057,-1.2897035,0.061602782
141,1959-12-11,-1.0170715,0.26400992,-1.3083208,-0.17431892
142,1959-12-16,-1.1290859,0.18393984,-1.3562008,-0.4626011
143,1959-12-21,-1.169025,0.15313695,-1.4153688,-0.52031374
144,1959-12-26,-1.222977,0.109149106,-1.4355477,-0.77743775
145,1959-12-31,-1.2459536,0.102204576,-1.4934654,-0.8452525
146,1960-01-05,-1.2578068,0.10223078,-1.4952323,-0.8493927
147,1960-01-10,-1.2793322,0.08969312,-1.500186,-0.9662562
148,1960-01-15,-1.2897803,0.08131485,-1.4871979,-1.0040368
149,1960-01-20,-1.3063066,0.06998922,-1.5174525,-1.127812
150,1960-01-25,-1.323379,0.060785037,-1.5233011,-1.1853409
151,1960-01-30,-1.3268319,0.058932252,-1.519654,-1.1707085
152,1960-02-04,-1.3301959,0.059001412,-1.5195966,-1.1639166
153,1960-02-09,-1.3369459,0.05751987,-1.5206628,-1.1609874
154,1960-02-14,-1.3434371,0.056563817,-1.5194387,-1.1529531
155,1960-02-19,-1.3496969,0.05824931,-1.5195684,-1.1400814
156,1960-02-24,-1.3526816,0.059104327,-1.520203,-1.1300431
157,1960-03-01,-1.3539644,0.059998263,-1.5192406,-1.1224345
158,1960-03-06,-1.3570354,0.06204638,-1.5147687,-1.1169648
159,1960-03-11,-1.3602483,0.062378112,-1.5153422,-1.1166033
160,1960-03-16,-1.3621376,0.063092194,-1.517371,-1.1148971
161,1960-03-21,-1.3644245,0.06409868,-1.5199605,-1.1233279
162,1960-03-26,-1.3658944,0.06481946,-1.5175874,-1.1169333
163,1960-03-31,-1.3680687,0.06652041,-1.5143267,-1.1033082
164,1960-04-05,-1.3703524,0.06911315,-1.5149177,-1.0877119
165,1960-04-10,-1.3712664,0.07138301,-1.5147572,-1.0736278
